Link,image,Attribution,category,interest
astronomy.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Fastronomy.png?alt=media&token=9e431c2f-4649-4cfe-88a9-c101c573c6a3,"<a href=""https://www.flaticon.com/free-icons/astronomy"" title=""astronomy icons"">Astronomy icons created by surang - Flaticon</a>",Hobbies,Astronomy
bake.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Fbake.png?alt=media&token=df78b0a4-ad95-4951-86b5-562e186edb03,"<a href=""https://www.flaticon.com/free-icons/astronomy"" title=""astronomy icons"">Astronomy icons created by surang - Flaticon</a>",Hobbies,Baking
bird.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Fbird.png?alt=media&token=1ac55873-6cd7-4f8b-9e3e-b95b9954808e,"<a href=""https://www.flaticon.com/free-icons/bird"" title=""bird icons"">Bird icons created by Freepik - Flaticon</a>",Hobbies,Birdwatching
tent.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Ftent.png?alt=media&token=7aea1121-4548-48b0-ae45-1b778853c4a1,"<a href=""https://www.flaticon.com/free-icons/tent"" title=""tent icons"">Tent icons created by Freepik - Flaticon</a>",Hobbies,Camping
strategy.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Fstrategy.png?alt=media&token=98810d68-3368-4ec6-93bc-dd9b0b6dadef,"<a href=""https://www.flaticon.com/free-icons/board-game"" title=""board game icons"">Board game icons created by Freepik - Flaticon</a>",Hobbies,Chess
cooking.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Fcooking.png?alt=media&token=38215bef-43ff-47f9-a8ef-e05872edde49,"<a href=""https://www.flaticon.com/free-icons/cooking"" title=""cooking icons"">Cooking icons created by Freepik - Flaticon</a>",Hobbies,Cooking
knitting.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Fknitting.png?alt=media&token=b24fcd12-f3b6-49bc-9739-b89bb6210361,"<a href=""https://www.flaticon.com/free-icons/knitting"" title=""knitting icons"">Knitting icons created by Futuer - Flaticon</a>",Hobbies,Crocheting/Knitting
dancing.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Fdancing.png?alt=media&token=963a0111-0946-4afa-becc-281e98c4220a,"<a href=""https://www.flaticon.com/free-icons/dancing"" title=""dancing icons"">Dancing icons created by Freepik - Flaticon</a>",Hobbies,Dancing
diy.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Fdiy.png?alt=media&token=f87e110d-03d7-4d53-9470-3393a9156232,"<a href=""https://www.flaticon.com/free-icons/diy"" title=""DIY icons"">DIY icons created by Freepik - Flaticon</a>",Hobbies,DIY
arts-and-crafts.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Farts-and-crafts.png?alt=media&token=f9312956-b240-41e4-b4d8-e334ff4dc388,"<a href=""https://www.flaticon.com/free-icons/craft"" title=""craft icons"">Craft icons created by Flat Icons - Flaticon</a>",Hobbies,Arts and Crafts
fishing.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Ffishing.png?alt=media&token=e498c56e-470a-4a99-84dc-9c6d731fe19f,"<a href=""https://www.flaticon.com/free-icons/fish"" title=""fish icons"">Fish icons created by Freepik - Flaticon</a>",Hobbies,Fishing
gardening.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Fgardening.png?alt=media&token=32e336b2-3742-4e07-9097-2548dbf2ce5c,"<a href=""https://www.flaticon.com/free-icons/gardening"" title=""gardening icons"">Gardening icons created by Freepik - Flaticon</a>",Hobbies,Gardening
joystick.png,https://firebasestorage.googleapis.com/v0/b/places-e6047.appspot.com/o/interest_images%2Fjoystick.png?alt=media&token=d088fe5c-ad8e-4055-b7ed-3456063603d2,"<a href=""https://www.flaticon.com/free-icons/gaming"" title=""gaming icons"">Gaming icons created by mynamepong - Flaticon</a>",Hobbies,Gaming
